City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
295,Yeppoon,AU,-23.1333,150.7333,76.78,76,82,16.44,broken clouds
296,Mirabad,AF,30.4362,61.8383,76.03,38,0,16.02,clear sky
297,Chuy,UY,-33.6971,-53.4616,50.56,83,0,6.96,clear sky
298,Arona,ES,28.0996,-16.681,60.98,59,0,10.36,clear sky
299,Denpasar,ID,-8.65,115.2167,83.86,83,20,8.05,few clouds
300,Dalby,AU,-27.1833,151.2667,74.98,53,7,3.0,clear sky
301,Baltasi,RU,56.3462,50.2062,32.79,76,19,9.37,few clouds
302,Buenos Aires,AR,-34.6132,-58.3772,57.94,58,0,8.05,clear sky
303,Diego De Almagro,CL,-26.3667,-70.05,59.4,51,0,1.19,clear sky
304,Olafsvik,IS,64.8945,-23.7142,33.1,65,8,19.01,clear sky
305,Muros,ES,42.7762,-9.0603,51.22,86,100,4.65,overcast clouds
306,Severo-Kurilsk,RU,50.6789,156.125,36.23,85,83,8.43,broken clouds
307,Seabra,BR,-12.4186,-41.7703,63.34,89,4,3.76,clear sky
308,Lorengau,PG,-2.0226,147.2712,83.14,76,100,2.17,overcast clouds
309,Takhtamygda,RU,54.1,123.5667,36.43,87,100,3.04,moderate rain
310,Kemijarvi,FI,66.7131,27.4306,30.56,93,100,8.25,light snow
311,Tam Ky,VN,15.5667,108.4833,72.05,96,100,9.37,overcast clouds
312,Sadovoye,RU,47.7764,44.5089,46.9,49,100,10.22,overcast clouds
313,Waingapu,ID,-9.6567,120.2641,84.94,69,46,16.6,scattered clouds
314,Zhigansk,RU,66.7697,123.3711,18.93,82,100,22.08,overcast clouds
315,Pacasmayo,PE,-7.4006,-79.5714,66.58,85,49,12.86,scattered clouds
316,Lanigan,CA,51.8501,-105.0344,48.09,56,100,9.98,overcast clouds
317,Durban,ZA,-29.8579,31.0292,62.02,80,4,4.0,clear sky
318,Dharchula,IN,29.85,80.5333,69.01,41,64,4.52,broken clouds
319,Rawlins,US,41.7911,-107.2387,55.29,38,20,9.22,few clouds
320,Sur,OM,22.5667,59.5289,81.59,58,0,1.66,clear sky
321,Peniche,PT,39.3558,-9.3811,58.28,82,6,13.56,clear sky
322,Margate,GB,51.3813,1.3862,51.31,72,100,1.01,overcast clouds
323,Sioux Lookout,CA,50.1001,-91.917,37.47,100,100,3.44,light intensity drizzle
324,Batagay-Alyta,RU,67.8006,130.4114,20.75,93,100,10.2,light snow
325,Usinsk,RU,65.9939,57.5281,21.97,96,100,7.56,light snow
326,Narsaq,GL,60.9167,-46.05,41.22,80,100,1.72,overcast clouds
327,Nhulunbuy,AU,-12.2333,136.7667,84.81,70,100,16.11,overcast clouds
328,Aban,RU,56.67,96.06,41.59,80,100,15.52,overcast clouds
329,Raudeberg,NO,61.9875,5.1352,45.27,83,100,24.63,overcast clouds
330,Anchorage,US,61.2181,-149.9003,56.28,37,0,20.71,clear sky
331,Muli,MV,2.9167,73.5667,84.97,75,100,20.94,overcast clouds
332,Guaraniacu,BR,-25.1008,-52.8781,60.04,96,9,1.07,clear sky
333,Honiara,SB,-9.4333,159.95,83.32,78,100,4.65,overcast clouds
334,Moranbah,AU,-22.0016,148.0466,77.45,56,89,17.72,overcast clouds
335,Mount Isa,AU,-20.7333,139.5,80.37,50,0,11.5,clear sky
336,Cabo San Lucas,MX,22.8909,-109.9124,87.1,61,20,13.96,few clouds
337,Taoudenni,ML,22.6783,-3.9836,77.61,23,6,10.09,clear sky
338,Lokosovo,RU,61.1333,74.8167,32.04,75,100,2.57,overcast clouds
339,Kresna,BG,41.7333,23.15,52.77,91,100,2.42,overcast clouds
340,Tahlequah,US,35.9154,-94.97,72.68,33,0,3.44,clear sky
341,Vestmannaeyjar,IS,63.4427,-20.2734,45.07,65,96,7.38,overcast clouds
342,Canandaigua,US,42.8742,-77.288,55.24,78,100,3.0,overcast clouds
343,Simao,CN,22.7886,100.9748,58.01,89,100,3.0,overcast clouds
344,Huarmey,PE,-10.0681,-78.1522,66.45,85,100,7.67,overcast clouds
345,Gweru,ZW,-19.45,29.8167,51.35,92,7,11.56,clear sky
346,Buraydah,SA,26.326,43.975,75.65,15,0,9.55,clear sky
